fetched_utc,route_id,direction,length_m,travel_s,freeflow_s,delay_s
2026-08-01T03:54:54Z,aglantzias,ba,3098,401,372,0
2026-08-01T03:54:54Z,kranidioti,ab,1458,110,105,0
2026-08-01T03:54:54Z,kranidioti,ba,1652,125,117,0
2026-08-01T03:54:54Z,perimetrikos,ab,2510,239,229,0
2026-08-01T03:54:54Z,perimetrikos,ba,2094,170,164,0
2026-08-01T03:54:54Z,hatziiosif,ab,2049,212,195,0
2026-08-01T03:54:54Z,hatziiosif,ba,2045,224,202,0
2026-08-01T03:54:54Z,perikleous,ab,2238,258,232,0
2026-08-01T03:54:54Z,perikleous,ba,2649,289,273,0
2026-08-01T03:54:54Z,avraamidi,ab,1264,154,140,0
2026-08-01T03:54:54Z,avraamidi,ba,1266,166,150,0
2026-08-01T03:54:54Z,athinon,ab,1573,208,204,0
2026-08-01T03:54:54Z,athinon,ba,1040,143,134,0
2026-08-01T03:54:54Z,tasou_markou,ab,544,75,70,0
2026-08-01T03:54:54Z,tasou_markou,ba,492,55,55,0
2026-08-01T03:54:54Z,peiraios,ab,590,89,71,0
2026-08-01T03:54:54Z,peiraios,ba,590,73,64,0
2026-08-01T04:05:21Z,strovolou,ab,5400,518,504,0
2026-08-01T04:05:21Z,strovolou,ba,4712,426,404,0
2026-08-01T04:05:21Z,tseriou,ab,2555,240,225,0
2026-08-01T04:05:21Z,tseriou,ba,3739,377,372,0
2026-08-01T04:05:21Z,prodromou,ab,2418,260,254,0
2026-08-01T04:05:21Z,prodromou,ba,2414,306,299,0
2026-08-01T04:05:21Z,akropoleos,ab,5010,534,463,0
2026-08-01T04:05:21Z,akropoleos,ba,5145,506,479,0
2026-08-01T04:05:21Z,athalassas,ab,2793,298,282,0
2026-08-01T04:05:21Z,athalassas,ba,6037,550,534,0
2026-08-01T04:05:21Z,lemesou,ab,2014,237,213,0
2026-08-01T04:05:21Z,lemesou,ba,2007,215,196,0
2026-08-01T04:05:21Z,sp_kyprianou,ab,6489,611,585,0
2026-08-01T04:05:21Z,sp_kyprianou,ba,6573,632,627,0
2026-08-01T04:05:21Z,archangelou,ab,7265,546,523,0
2026-08-01T04:05:21Z,archangelou,ba,6911,593,591,0
2026-08-01T04:05:21Z,konstantinoup,ab,2628,299,291,0
2026-08-01T04:05:21Z,konstantinoup,ba,2629,320,313,0
2026-08-01T04:05:21Z,stavrou,ab,2187,208,208,0
2026-08-01T04:05:21Z,stavrou,ba,2245,204,206,0
2026-08-01T04:05:21Z,makedonitissas,ab,3632,411,395,0
2026-08-01T04:05:21Z,makedonitissas,ba,2705,293,290,0
2026-08-01T04:05:21Z,armenias,ab,1079,124,119,0
2026-08-01T04:05:21Z,armenias,ba,1079,151,132,0
2026-08-01T04:05:21Z,arch_kyprianou,ab,1777,228,214,0
2026-08-01T04:05:21Z,arch_kyprianou,ba,1726,208,202,0
2026-08-01T04:05:21Z,a1_motorway,ab,10597,351,349,0
2026-08-01T04:05:21Z,a1_motorway,ba,14048,556,558,0
2026-08-01T04:05:21Z,makariou_lakat,ab,5849,546,516,0
2026-08-01T04:05:21Z,makariou_lakat,ba,6901,595,583,0
2026-08-01T04:05:21Z,griva_digeni,ab,4212,443,441,0
2026-08-01T04:05:21Z,griva_digeni,ba,5350,693,681,0
2026-08-01T04:05:21Z,aglantzias,ab,1775,180,177,0
2026-08-01T04:05:21Z,aglantzias,ba,3098,394,372,0
2026-08-01T04:05:21Z,kranidioti,ab,1458,107,105,0
2026-08-01T04:05:21Z,kranidioti,ba,1652,122,117,0
2026-08-01T04:05:21Z,perimetrikos,ab,2510,233,229,0
2026-08-01T04:05:21Z,perimetrikos,ba,2094,165,164,0
2026-08-01T04:05:21Z,hatziiosif,ab,2049,209,195,0
2026-08-01T04:05:21Z,hatziiosif,ba,2045,218,202,0
2026-08-01T04:05:21Z,perikleous,ab,2238,252,232,0
2026-08-01T04:05:21Z,perikleous,ba,2649,280,273,0
2026-08-01T04:05:21Z,avraamidi,ab,1264,151,140,0
2026-08-01T04:05:21Z,avraamidi,ba,1266,164,150,0
2026-08-01T04:05:21Z,athinon,ab,1573,202,204,0
2026-08-01T04:05:21Z,athinon,ba,1040,139,134,0
2026-08-01T04:05:21Z,tasou_markou,ab,544,74,70,0
2026-08-01T04:05:21Z,tasou_markou,ba,492,53,55,0
2026-08-01T04:05:21Z,peiraios,ab,590,90,71,0
2026-08-01T04:05:21Z,peiraios,ba,590,73,64,0
