geom_hash,street_from,street_to,n_points,wkt
e1beab30434a,Archiepiskopou Makariou III Ave,Evagorou Ave,57,"LINESTRING(33.364023 35.164465, 33.363673 35.164425, 33.363387 35.164389, 33.362973 35.164332, 33.362701 35.164287, 33.362627 35.164267, 33.362296 35.164164, 33.362115 35.164071, 33.362020 35.164014, 33.361740 35.163861, 33.361573 35.163753, 33.361296 35.163595, 33.361069 35.163472, 33.360915 35.163395, 33.360361 35.163159, 33.360000 35.163023, 33.359830 35.162961, 33.359655 35.162906, 33.359476 35.162876, 33.359056 35.162868, 33.359004 35.162871, 33.359043 35.162948, 33.359035 35.162999, 33.358948 35.163301, 33.358804 35.163729, 33.358618 35.164255, 33.358567 35.164372, 33.358510 35.164467, 33.358412 35.164587, 33.358270 35.164726, 33.358010 35.164976, 33.357948 35.165059, 33.357913 35.165106, 33.357898 35.165126, 33.357821 35.165282, 33.357796 35.165401, 33.357823 35.165957, 33.357866 35.166428, 33.357958 35.166920, 33.358023 35.167231, 33.358026 35.167387, 33.358012 35.167534, 33.357986 35.167704, 33.357932 35.167928, 33.357863 35.168215, 33.357707 35.168619, 33.357462 35.169214, 33.357191 35.169979, 33.357145 35.170113, 33.357027 35.170410, 33.357066 35.170494, 33.357116 35.170518, 33.357241 35.170528, 33.357464 35.170546, 33.358014 35.170399, 33.358424 35.170287, 33.358550 35.170259)"
db379abb1dc7,Georgiou Neofytou,Spyrou Kyprianou Ave,4,"LINESTRING(33.054877 34.698550, 33.051785 34.698450, 33.051004 34.698421, 33.050205 34.698397)"
d485409681ec,Spyrou Kyprianou Ave,Spyrou Kyprianou Ave,5,"LINESTRING(33.050205 34.698397, 33.048440 34.698326, 33.047837 34.698299, 33.046588 34.698247, 33.045557 34.698220)"
b16f06e86626,Spyrou Kyprianou Ave,Angelou Vlachou,11,"LINESTRING(33.045557 34.698220, 33.045469 34.698218, 33.044822 34.698199, 33.044100 34.698163, 33.043677 34.698130, 33.043349 34.698105, 33.041532 34.697966, 33.040946 34.697926, 33.039863 34.697851, 33.038603 34.697788, 33.037825 34.697728)"
2855457a23fe,E110,E147 - Archiepiskopou Makariou III Ave,151,"LINESTRING(33.005414 34.745859, 33.005545 34.745547, 33.005757 34.744912, 33.005963 34.744128, 33.006150 34.743309, 33.006346 34.742539, 33.006495 34.742129, 33.006854 34.741458, 33.007063 34.741173, 33.007144 34.741062, 33.007333 34.740783, 33.007401 34.740654, 33.007531 34.740344, 33.007589 34.740162, 33.007635 34.739796, 33.007666 34.739365, 33.007716 34.738798, 33.007803 34.738383, 33.007914 34.737944, 33.008012 34.737635, 33.008313 34.736924, 33.008628 34.736362, 33.009076 34.735722, 33.009920 34.734756, 33.010364 34.734123, 33.010721 34.733269, 33.011301 34.732371, 33.012267 34.731604, 33.013104 34.731022, 33.013340 34.730688, 33.013987 34.728562, 33.014306 34.728109, 33.015493 34.727179, 33.015754 34.726915, 33.016526 34.725533, 33.016703 34.725063, 33.016712 34.724726, 33.016660 34.724419, 33.016601 34.723945, 33.016565 34.723473, 33.016599 34.722889, 33.016841 34.721838, 33.017391 34.720224, 33.017636 34.719693, 33.017767 34.719462, 33.017927 34.719250, 33.018118 34.719057, 33.018290 34.718920, 33.018437 34.718824, 33.018906 34.718530, 33.020306 34.717911, 33.020636 34.717737, 33.021747 34.716763, 33.021952 34.716600, 33.022457 34.716382, 33.022636 34.716272, 33.022763 34.716077, 33.022825 34.715854, 33.023003 34.715083, 33.023130 34.714790, 33.023187 34.714557, 33.023175 34.714417, 33.023112 34.714244, 33.023042 34.714083, 33.022958 34.713958, 33.022910 34.713862, 33.022910 34.713739, 33.022961 34.713545, 33.023065 34.713244, 33.023118 34.713100, 33.023196 34.712729, 33.023267 34.712370, 33.023350 34.712137, 33.023623 34.711548, 33.023773 34.711211, 33.024041 34.710685, 33.024402 34.709905, 33.024439 34.709777, 33.024463 34.709625, 33.024481 34.708953, 33.024473 34.708689, 33.024478 34.708498, 33.024560 34.708191, 33.024613 34.708079, 33.024677 34.707943, 33.024760 34.707784, 33.024827 34.707657, 33.025149 34.707127, 33.025688 34.706304, 33.025848 34.706139, 33.026043 34.705909, 33.026273 34.705724, 33.026654 34.705478, 33.026760 34.705389, 33.026856 34.705278, 33.026932 34.705140, 33.027040 34.705020, 33.027167 34.704933, 33.027179 34.704929, 33.027245 34.704903, 33.027305 34.704868, 33.027356 34.704824, 33.027398 34.704774, 33.027428 34.704719, 33.027446 34.704661, 33.027450 34.704635, 33.027450 34.704574, 33.027448 34.704558, 33.027432 34.704499, 33.027404 34.704443, 33.027364 34.704392, 33.027314 34.704348, 33.027244 34.704212, 33.027229 34.704043, 33.027279 34.703892, 33.027356 34.703746, 33.027646 34.703353, 33.028096 34.702691, 33.028348 34.702360, 33.028601 34.702084, 33.028966 34.701754, 33.029728 34.701145, 33.030102 34.700797, 33.030475 34.700443, 33.031288 34.699642, 33.031502 34.699403, 33.031685 34.699200, 33.032124 34.698673, 33.032764 34.697817, 33.033314 34.697029, 33.033377 34.696935, 33.033621 34.696503, 33.033755 34.696176, 33.033847 34.695969, 33.033917 34.695762, 33.034164 34.694855, 33.034272 34.694472, 33.034313 34.694355, 33.034528 34.693880, 33.034732 34.693399, 33.034970 34.692882, 33.035219 34.692347, 33.035254 34.692267, 33.035491 34.691634, 33.035680 34.691149, 33.035738 34.691018, 33.036193 34.689945, 33.036253 34.689803, 33.036539 34.689195, 33.036669 34.688919, 33.036841 34.688508)"
b1607c8a378f,Agias Filaxeos,E147 - Archiepiskopou Makariou III Ave,6,"LINESTRING(33.036841 34.688508, 33.036980 34.688093, 33.037069 34.687838, 33.037133 34.687652, 33.037446 34.686844, 33.037466 34.686767)"
f2e7dbbab450,Exit 24 >E127 Germasogeia / E113 Lemesos-Centre,Mesa Geitonia,32,"LINESTRING(33.093173 34.706405, 33.092844 34.706448, 33.092124 34.706565, 33.090866 34.706822, 33.089542 34.707187, 33.086593 34.708061, 33.082454 34.709353, 33.081678 34.709572, 33.081074 34.709696, 33.080364 34.709797, 33.079668 34.709848, 33.079168 34.709857, 33.078667 34.709830, 33.078021 34.709763, 33.065625 34.707769, 33.055969 34.706223, 33.053586 34.705844, 33.052788 34.705707, 33.051975 34.705590, 33.051045 34.705480, 33.050391 34.705410, 33.049524 34.705335, 33.048906 34.705291, 33.047981 34.705243, 33.046951 34.705216, 33.045739 34.705210, 33.042906 34.705272, 33.040686 34.705290, 33.039618 34.705301, 33.038058 34.705277, 33.036328 34.705191, 33.032817 34.704960)"
8f69c2edf627,Lemesos,Kato Polemidia,31,"LINESTRING(33.032817 34.704960, 33.027809 34.704636, 33.027008 34.704553, 33.026239 34.704409, 33.025710 34.704272, 33.025235 34.704125, 33.024547 34.703889, 33.023973 34.703632, 33.023473 34.703380, 33.022580 34.702864, 33.021851 34.702304, 33.021309 34.701809, 33.017487 34.697937, 33.015291 34.695699, 33.010579 34.690866, 33.010135 34.690416, 33.009820 34.690110, 33.009454 34.689809, 33.009116 34.689578, 33.008652 34.689304, 33.008257 34.689109, 33.007773 34.688913, 33.007212 34.688759, 33.002904 34.687884, 33.001441 34.687608, 32.999675 34.687328, 32.998507 34.687208, 32.997585 34.687133, 32.996443 34.687081, 32.995201 34.687066, 32.994559 34.687072)"
ce239bce6647,Kato Polemidia,Kato Polemidia,11,"LINESTRING(32.994559 34.687072, 32.993494 34.687117, 32.991834 34.687249, 32.990875 34.687359, 32.990040 34.687490, 32.988557 34.687750, 32.987009 34.688088, 32.985621 34.688474, 32.984176 34.688936, 32.980797 34.690119, 32.971388 34.693502)"
8e8cea011a58,Ypsonas,"to A6 > Pafos, Pafos Airport",69,"LINESTRING(32.971388 34.693502, 32.970278 34.693899, 32.968201 34.694643, 32.964474 34.695979, 32.963334 34.696316, 32.962173 34.696598, 32.961293 34.696757, 32.960472 34.696874, 32.959067 34.696991, 32.958246 34.697026, 32.956240 34.696960, 32.954850 34.696803, 32.953257 34.696484, 32.952090 34.696177, 32.951133 34.695870, 32.949882 34.695396, 32.949347 34.695156, 32.948739 34.694862, 32.947979 34.694449, 32.947094 34.693904, 32.946727 34.693640, 32.945860 34.692997, 32.944315 34.691737, 32.943572 34.691193, 32.943060 34.690889, 32.942541 34.690619, 32.941979 34.690371, 32.941510 34.690221, 32.941072 34.690100, 32.940590 34.689988, 32.940080 34.689906, 32.939567 34.689853, 32.938926 34.689827, 32.937344 34.689844, 32.935348 34.689902, 32.931432 34.690038, 32.926879 34.690155, 32.926073 34.690160, 32.925266 34.690113, 32.924729 34.690036, 32.924166 34.689923, 32.923199 34.689619, 32.922798 34.689478, 32.920391 34.688540, 32.916853 34.687251, 32.914723 34.686524, 32.912458 34.685808, 32.908019 34.684527, 32.904137 34.683432, 32.901968 34.682784, 32.898644 34.681880, 32.897354 34.681584, 32.896052 34.681330, 32.894437 34.681105, 32.893817 34.681031, 32.893186 34.680993, 32.892234 34.680966, 32.890711 34.680988, 32.889984 34.681018, 32.889877 34.680985, 32.889522 34.680985, 32.889339 34.680968, 32.889134 34.680929, 32.888921 34.680875, 32.888734 34.680778, 32.888590 34.680671, 32.888478 34.680555, 32.888366 34.680386, 32.888203 34.680000)"
